0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:59:17 +0800] "GET /Project/index.jsp HTTP/1.1" 200 6520
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:59:17 +0800] "GET /Project/css/images/img04.gif HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:59:17 +0800] "GET /Project/css/images/img02.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:59:18 +0800] "GET /Project/css/images/img03.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:59:50 +0800] "GET /Project/index.jsp HTTP/1.1" 200 6717
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:59:50 +0800] "GET /Project/css/images/img04.gif HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:59:50 +0800] "GET /Project/css/images/img02.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:09:59:53 +0800] "GET /Project/css/images/img03.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:00:17 +0800] "GET /Project/index.jsp HTTP/1.1" 200 6716
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:00:17 +0800] "GET /Project/css/images/img04.gif HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:00:17 +0800] "GET /Project/css/images/img02.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:00:19 +0800] "GET /Project/css/images/img03.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:02:11 +0800] "GET /Project/index.jsp HTTP/1.1" 200 6710
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:02:11 +0800] "GET /Project/css/images/img04.gif HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:02:11 +0800] "GET /Project/css/images/img02.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Apr/2018:10:03:08 +0800] "GET /Project/index.jsp HTTP/1.1" 200 6712
